date,ticker,return
2025-01-30,AAPL,-0.007395
2025-01-30,AFRM,0.053435
2025-01-30,AMZN,-0.010250
2025-01-30,GOOGL,0.027941
2025-01-30,META,0.015536
2025-01-30,MSFT,-0.061809
2025-01-30,NVDA,0.007680
2025-01-30,PLTR,0.018305
2025-01-30,RIVN,0.007246
2025-01-30,SOFI,0.028143
2025-01-30,TSLA,0.028733
2025-01-30,UPST,0.018919
2025-01-31,AAPL,-0.006692
2025-01-31,AFRM,-0.016586
2025-01-31,AMZN,0.012956
2025-01-31,GOOGL,0.015682
2025-01-31,META,0.003173
2025-01-31,MSFT,0.000169
2025-01-31,NVDA,-0.036743
2025-01-31,PLTR,0.015637
2025-01-31,RIVN,0.003997
2025-01-31,SOFI,-0.040146
2025-01-31,TSLA,0.010792
2025-01-31,UPST,-0.038250
2025-02-03,AAPL,-0.033856
2025-02-03,AFRM,-0.019486
2025-02-03,AMZN,-0.001094
2025-02-03,GOOGL,-0.013675
2025-02-03,META,0.012014
2025-02-03,MSFT,-0.009974
2025-02-03,NVDA,-0.028400
2025-02-03,PLTR,0.015153
2025-02-03,RIVN,-0.013535
2025-02-03,SOFI,-0.024081
2025-02-03,TSLA,-0.051705
2025-02-03,UPST,-0.024326
2025-02-04,AAPL,0.021008
2025-02-04,AFRM,-0.005845
2025-02-04,AMZN,0.019543
2025-02-04,GOOGL,0.025593
2025-02-04,META,0.009649
2025-02-04,MSFT,0.003529
2025-02-04,NVDA,0.017058
2025-02-04,PLTR,0.239909
2025-02-04,RIVN,0.038741
2025-02-04,SOFI,-0.007143
2025-02-04,TSLA,0.022232
2025-02-04,UPST,0.002058
2025-02-05,AAPL,-0.001418
2025-02-05,AFRM,0.054930
2025-02-05,AMZN,-0.024333
2025-02-05,GOOGL,-0.072924
2025-02-05,META,0.000966
2025-02-05,MSFT,0.002231
2025-02-05,NVDA,0.052086
2025-02-05,PLTR,-0.023789
2025-02-05,RIVN,-0.007770
2025-02-05,SOFI,0.013080
2025-02-05,TSLA,-0.035797
2025-02-05,UPST,0.026540
2025-02-06,AAPL,0.003226
2025-02-06,AFRM,-0.016720
2025-02-06,AMZN,0.011263
2025-02-06,GOOGL,0.001411
2025-02-06,META,0.010101
2025-02-06,MSFT,0.006122
2025-02-06,NVDA,0.030842
2025-02-06,PLTR,0.097869
2025-02-06,RIVN,0.002349
2025-02-06,SOFI,-0.044545
2025-02-06,TSLA,-0.010181
2025-02-06,UPST,0.002462
2025-02-07,AAPL,-0.023969
2025-02-07,AFRM,0.218138
2025-02-07,AMZN,-0.040531
2025-02-07,GOOGL,-0.032672
2025-02-07,META,0.003553
2025-02-07,MSFT,-0.014598
2025-02-07,NVDA,0.009015
2025-02-07,PLTR,-0.003864
2025-02-07,RIVN,-0.025000
2025-02-07,SOFI,0.007432
2025-02-07,TSLA,-0.033928
2025-02-07,UPST,0.056954
2025-02-10,AAPL,0.000088
2025-02-10,AFRM,0.033635
2025-02-10,AMZN,0.017412
2025-02-10,GOOGL,0.006097
2025-02-10,META,0.004031
2025-02-10,MSFT,0.006028
2025-02-10,NVDA,0.028728
2025-02-10,PLTR,0.052323
2025-02-10,RIVN,0.040865
2025-02-10,SOFI,0.014755
2025-02-10,TSLA,-0.030114
2025-02-10,UPST,0.030356
2025-02-11,AAPL,0.021832
2025-02-11,AFRM,0.003473
2025-02-11,AMZN,-0.001630
2025-02-11,GOOGL,-0.006167
2025-02-11,META,0.003345
2025-02-11,MSFT,-0.001892
2025-02-11,NVDA,-0.005765
2025-02-11,PLTR,-0.034548
2025-02-11,RIVN,-0.042340
2025-02-11,SOFI,-0.019828
2025-02-11,TSLA,-0.063382
2025-02-11,UPST,-0.050747
2025-02-12,AAPL,0.018270
2025-02-12,AFRM,-0.030249
2025-02-12,AMZN,-0.016455
2025-02-12,GOOGL,-0.009227
2025-02-12,META,0.007752
