layer_name,date,gross_return,net_return,turnover,estimated_transaction_cost,realized_transaction_cost,num_positions,max_position_weight,cash_weight,sector_exposure,risk_exposure,rejected_symbols,binding_constraints,infeasibility_reason,cost_bps,transaction_cost_objective_mode,portfolioos_overrides
full_execution_aware_cost_adjusted,,,,,,,,,,,,[],[],Cost sensitivity at 0 bps is configured but not executed by default. Enable an explicit PortfolioOS cost adapter before treating this as a result.,0,nav_fraction,"{'fees.commission_rate': 0.0, 'execution.backtest_fixed_half_spread_bps': 0.0, 'objective_weights.transaction_cost_objective_mode': 'nav_fraction'}"
full_execution_aware_cost_adjusted,,,,,,,,,,,,[],[],Cost sensitivity at 5 bps is configured but not executed by default. Enable an explicit PortfolioOS cost adapter before treating this as a result.,5,nav_fraction,"{'fees.commission_rate': 0.0005, 'execution.backtest_fixed_half_spread_bps': 5.0, 'objective_weights.transaction_cost_objective_mode': 'nav_fraction'}"
full_execution_aware_cost_adjusted,,,,,,,,,,,,[],[],Cost sensitivity at 10 bps is configured but not executed by default. Enable an explicit PortfolioOS cost adapter before treating this as a result.,10,nav_fraction,"{'fees.commission_rate': 0.001, 'execution.backtest_fixed_half_spread_bps': 10.0, 'objective_weights.transaction_cost_objective_mode': 'nav_fraction'}"
full_execution_aware_cost_adjusted,,,,,,,,,,,,[],[],Cost sensitivity at 25 bps is configured but not executed by default. Enable an explicit PortfolioOS cost adapter before treating this as a result.,25,nav_fraction,"{'fees.commission_rate': 0.0025, 'execution.backtest_fixed_half_spread_bps': 25.0, 'objective_weights.transaction_cost_objective_mode': 'nav_fraction'}"
full_execution_aware_cost_adjusted,,,,,,,,,,,,[],[],Cost sensitivity at 50 bps is configured but not executed by default. Enable an explicit PortfolioOS cost adapter before treating this as a result.,50,nav_fraction,"{'fees.commission_rate': 0.005, 'execution.backtest_fixed_half_spread_bps': 50.0, 'objective_weights.transaction_cost_objective_mode': 'nav_fraction'}"
