date,ticker,return
2025-01-17,000333,0.003509
2025-01-17,000858,0.006237
2025-01-17,300750,0.006282
2025-01-17,600276,-0.001399
2025-01-17,600519,0.005787
2025-01-17,601012,-0.015584
2025-01-17,601318,0.002640
2025-01-20,000333,0.007263
2025-01-20,000858,0.015117
2025-01-20,300750,0.055746
2025-01-20,600276,0.039216
2025-01-20,600519,0.013782
2025-01-20,601012,-0.001319
2025-01-20,601318,0.008708
2025-01-21,000333,-0.006543
2025-01-21,000858,-0.006776
2025-01-21,300750,-0.005047
2025-01-21,600276,0.013702
2025-01-21,600519,-0.004509
2025-01-21,601012,-0.022457
2025-01-21,601318,0.001807
2025-01-22,000333,-0.018817
2025-01-22,000858,-0.022790
2025-01-22,300750,-0.023393
2025-01-22,600276,-0.015511
2025-01-22,600519,-0.018493
2025-01-22,601012,-0.012838
2025-01-22,601318,-0.019038
2025-01-23,000333,0.005616
2025-01-23,000858,-0.013042
2025-01-23,300750,-0.001938
2025-01-23,600276,-0.010578
2025-01-23,600519,0.001388
2025-01-23,601012,-0.005476
2025-01-23,601318,0.029009
2025-01-24,000333,-0.008037
2025-01-24,000858,-0.007229
2025-01-24,300750,0.012117
2025-01-24,600276,0.015469
2025-01-24,600519,-0.004851
2025-01-24,601012,0.029594
2025-01-24,601318,0.009728
2025-01-27,000333,0.014556
2025-01-27,000858,-0.004071
2025-01-27,300750,-0.013890
2025-01-27,600276,0.000224
2025-01-27,600519,-0.000703
2025-01-27,601012,-0.004011
2025-01-27,601318,-0.000197
2025-02-05,000333,-0.022604
2025-02-05,000858,-0.017217
2025-02-05,300750,-0.018988
2025-02-05,600276,-0.014334
2025-02-05,600519,-0.021735
2025-02-05,601012,0.012081
2025-02-05,601318,-0.022222
2025-02-06,000333,0.000831
2025-02-06,000858,0.007119
2025-02-06,300750,0.003887
2025-02-06,600276,0.007953
2025-02-06,600519,0.006440
2025-02-06,601012,0.023210
2025-02-06,601318,0.010660
2025-02-07,000333,0.016189
2025-02-07,000858,0.013741
2025-02-07,300750,0.032319
2025-02-07,600276,0.020965
2025-02-07,600519,0.016393
2025-02-07,601012,0.051847
2025-02-07,601318,0.012537
2025-02-10,000333,-0.005855
2025-02-10,000858,-0.000784
2025-02-10,300750,-0.010831
2025-02-10,600276,-0.009053
2025-02-10,600519,-0.003127
2025-02-10,601012,-0.012323
2025-02-10,601318,0.000393
2025-02-11,000333,0.009451
2025-02-11,000858,-0.009958
2025-02-11,300750,-0.025730
2025-02-11,600276,-0.015374
2025-02-11,600519,-0.009438
2025-02-11,601012,-0.021834
2025-02-11,601318,-0.007466
2025-02-12,000333,-0.005699
2025-02-12,000858,0.011405
2025-02-12,300750,0.013900
2025-02-12,600276,0.005657
2025-02-12,600519,0.017630
2025-02-12,601012,0.010842
2025-02-12,601318,0.011085
2025-02-13,000333,-0.015557
